Text,Sentiment
"Ia mengaku mendapatkan laporan adanya suara-suara yang tidak sesuai di beberapa daerah , seperti Buleleng , Badung , dan Jembrana .",0
""" Kalau di Bali yang kita lihat ada keganjilan itu belum terlalu banyak , tapi kami masih menunggu , "" ucap Jurkam Timnas AMIN Bali itu .",1
Baraas juga tidak menjelaskan secara spesifik saat ditanya mengenai jumlah suara yang hilang .,0
"Menurutnya , Timnas AMIN Bali saat ini tidak membahas angka .",0
Ia lebih mengedepankan menjunjung pemilu yang damai dan jujur .,2
""" Tetapi yang kami persoalkan kami datang kemari adalah kami ada kepedulian terhadap perolehan suara, terhadap kekeliruan di perhitungan ( suara ) , "" jelas mantan wartawan itu .",0
"Menurutnya , Timnas AMIN Bali juga tidak mungkin mengecek suara satu per satu di TPS .",0
"Laporan ini , sebutnya , murni dari laporan saksi-saksi di beberapa daerah .",1
"Koordinator Divisi Penanganan Pelanggaran , Data , dan Informasi Bawaslu Bali I Wayan Wirka mengatakan berkas laporan Timnas AMIN Bali masih diterima oleh petugas .",1
Berkas rencananya akan dikaji oleh pimpinan Bawaslu Bali .,1
""" Sedang diterima oleh petugas penerima laporan , "" ujar Wirka melalui pesan singkat .",1
"Sekelompok orang menggelar demonstrasi di depan kantor KPU RI , Jakarta Pusat .",0
Massa terlihat membakar ban di tengah jalan .,0
"Pantauan detikcom di depan gedung KPU , Jumat ( 23/2/2024 ) , sejumlah orang terlihat mulai membakar ban sekitar pukul 15.41 WIB .",0
Mereka juga terus meneriakkan yel-yel saat membakar ban .,0
Asap hitam terlihat membubung di lokasi .,1
""" Kita bakar ban bekas ini sebagai bentuk kemarahan , "" ucap salah satu orator .",0
Massa yang membakar ban ini tergabung dalam Gerakan Masyarakat Sipil Selamatkan Demokrasi Indonesia .,0
Mereka menggelar demonstrasi terkait jalannya Pemilu 2024 .,1
"Sebelumnya , massa berdatangan pukul 13.52 WIB .",1
Mereka datang membawa spanduk dan poster protes soal Pemilu .,0
Massa juga membawa mobil komando .,1
Polisi terlihat berjaga di sekitar lokasi .,1
Jalan Imam Bonjol sendiri telah ditutup untuk massa aksi .,1
Penutupan jalan tersebut memicu kemacetan di Jalan HOS Cokroaminoto dari Kuningan ke arah Menteng dan sebaliknya .,0
Ketua DPD Partai Gerindra Sumatera Barat Andre Rosiade kembali menggelar Jumat Berkah Partai Gerindra .,1
Ajang berbagi ratusan nasi kotak di masjid-masjid itu digelar setelah vakum saat masa kampanye Pemilu 2024 dimulai pertengahan 2023 lalu .,2
Ratusan jemaah begitu senang dengan kegiatan yang ternyata mereka anggap bagian dari ' makan gratis ' dari Capres 02 Prabowo Subianto .,2
Jemaah menilai kegiatan ini sangat bagus dan harus terus dilakukan .,2
Pengurus masjid yang juga Ketua RW 5 Jati Baru Musnir mengaku senang dengan kegiatan yang digelar Andre Rosiade dan Partai Gerindra ini .,2
"Mereka tahu , Andre adalah anggota DPR RI yang insyaallah akan terpilih kembali ke Senayan untuk periode 2024-2029 .",2
Warga sangat mengetahui sepak terjang politisi Gerindra itu .,1
""" Pada hari Jumat yang mulia ini , yang berkah ini , kami jemaah masjid dan pengurus masjid mendapatkan kesempatan makan siang gratis Jumat Berkah . Untuk para jemaah masjid kami dan warga , "" ujarnya , dalam keterangannya , Jumat ( 23/2/2024 ) .",2
""" Kami selaku Ketua RW 05 mengucapkan terima kasih kepada Pak Andre Rosiade dan jajaran yang telah memberikan kami makan gratis Jumat Berkah . Atas keberkahan ini kami ucapkan terima kasih , "" sambungnya .",2
"Kegiatan Jumat Berkah perdana ini digelar di Masjid Al Furqon Muhammadiyah , Kelurahan Jati Baru , Kecamatan Padang Timur , Kota Padang , pada Jumat ( 23/2/2024 ) .",1
Kegiatan tersebut sangat dinanti oleh jemaah di Kota Padang dan juga Kabupaten dan Kota se-Sumbar .,2
Ketua PAC Partai Gerindra Padang Timur Syahrul Ridha menyebutkan acara Jumat Berkah ini sudah sangat dinantikan warga dan sangat spesial rasanya kembali digelar .,2
Apalagi dimulai dari Padang Timur yang menjadi basis dari Andre Rosiade dan Partai Gerindra pada Pemilu dan Pilpres lalu .,1
Dia mengapresiasi terus digelarnya acara ini .,2
""" Alhamdulillah , Jumat Berkah kembali digelar dan mendapatkan sambutan hangat dari jemaah dan masyarakat . Ini adalah pertanda Partai Gerindra tidak hanya hadir kalau ada Pemilu atau Pilpres saja , "" kata Syahrul .",2
""" Tapi juga terus hadir untuk masyarakat banyak , "" lanjutnya .",2
Wakil Ketua DPD Gerindra Sumbar Nurhaida mengatakan Jumat berkah perdana ini mengambil lokasi di dalam Kota Padang .,1
Selanjutnya bisa saja di pinggir kota atau di luar Padang .,1
Hal yang pernah dilakukan tim selama bertahun-tahun .,1
""" Kita mendapatkan instruksi Ketua DPD Gerindra Sumbar pak Andre Rosiade untuk gelar kembali .",1
"Alhamdulillah sukses , "" kata Sekretaris PD PIRA ( Perempuan Indonesia Raya ) tersebut .",2
"Dihubungi terpisah , Andre Rosiade mengatakan digelarnya Jumat berkah ini sebagai bagian terima kasih kepada warga Sumbar yang setia dengan Partai Gerindra .",2
"""Terima kasih kepada masyarakat Kota Padang dan Sumbar umumnya yang begitu setia dengan Partai Gerindra dan pak Prabowo . Kami akan terus menggeber program-program tidak hanya Jumat berkah , "" kata anggota Komisi VI DPR RI itu .",2
""" Bisa BLT , sembako dan lainnya , "" pungkasnya .",1
"Pelempar bondet yang menghancurkan rumah ketua KPPS bernama Kusyairi di Dusun Timur , Desa Nyalabuh Daya , Pamekasan pada Senin ( 19/2 ) dini hari akhirnya terungkap .",2
Sudah ada 3 orang yang ditetapkan tersangka dalam kasus teror bom ikan tersebut .,2
"Ketiga pria yang telah ditetapkan tersangka itu yakni S ( 38 ) , A ( 30 ) , dan AR ( 30 ) yang seluruhnya merupakan warga Pamekasan .",1
Mereka dihadirkan saat konferensi pers di Polda Jatim dalam keadaan sudah memakai baju tahanan sembari tertunduk .,1
""" Kami berhasil menangkap 3 tersangka di Pamekasan , "" ujar Dirkrimum Polda Jatim Kombes Totok Suharyanto dalam konferensi pers di Mapolda Jatim , Jumat ( 23/2/2024 ) .",2
"Tidak hanya berhasil mengamankan ketiga tersangka , polisi telah mengamankan barang bukti berupa 2 buah bahan peledak jenis mercon berbentuk bulat , 1 tepung tapioka , sejumlah bubuk mesiu , 2 kantong plastik tawas , 1 kantong plastik potasium , 1 kantong plastik sendawa , dan 1 alat pembuat bahan peledak jenis mercon .",2
"Akibat perbuatannya , ketiga tersangka ini terancam dengan kurungan pidana maksimal 20 tahun penjara dengan delik utama yang dipersangkakan kepada para tersangka adalah Pasal 1 Ayat ( 1 ) Undang-Undang Darurat RI No. 12 Tahun 1951 dan Pasal 170 KUHP .",0
Ledakan bondet itu menghancurkan beberapa bagian rumah Kusairi pada Senin ( 19/2 ) dini hari sekitar pukul 03.00 WIB .,0
Akibat ledakan 2 bom ikan atau bondet itu pintu dan kaca jendela depan dan samping hancur .,0
"Termasuk lemari kayu di ruang tengah , juga tempat tidur dan plafon rumah itu juga rusak .",0
Saat itu Kusairi yang sedang tidur mengaku mendengar bunyi pecahan kaca .,1
Dia mengira itu bunyi piring jatuh .,1
Dia langsung bangun keluar rumah .,1
Ternyata warga sudah berdatangan dan menunjuk belakang rumahnya .,1
Tidak ada korban jiwa akibat ledakan itu sebab pada saat kejadian Kusairi tidur di rumah satunya yang letaknya bersebelahan dengan rumahnya yang menjadi sasaran bondet .,0
""" Saat kejadian , korban sedang tidak di rumah yang menjadi sasaran lemparan bahan peledak . Kusairi berada di rumah satunya yang letaknya berdampingan , "" ujar salah satu keluarga korban .",1
Ungkapan syukur disampaikan Presiden Joko Widodo ( Jokowi ) terkait situasi politik Indonesia yang tetap stabil meskipun kondisi geopolitik dunia yang kurang baik .,2
Kondusivitas politik dalam negeri ini membuat industri perekonomian dalam negeri makin bertumbuh .,2
"Hal itu disampaikan Jokowi saat menyampaikan sambutan dalam Pertemuan Industri Jasa Keuangan 2024 di Hotel St Regist , Jakarta , Selasa ( 20/2/2024 ) .",1
Jokowi mulanya berbicara mengenai kekhawatiran para pelaku bisnis terkait situasi politik yang memanas menjelang Pemilu 2024 .,0
""" Saya tahu bahwa banyak para pelaku bisnis yang kemaren masih menunggu pemilu . Wait and see karena khawatir dengan politik yang memanas menjelang pelaksanaan pemilu , "" kata Jokowi .",0
Jokowi bersyukur pada akhirnya pemilu berjalan lancar .,2
"Menurutnya , masyarakat riang gembira berbondong-bondong ke TPS .",2
""" Tetapi sekarang alhamdulillah pemilu berjalan dengan lancar , masyarakat berbondong-bondong ke TPS juga dengan riang gembira , dan kita harapkan arus modal masuk investasi sehabis pemilu ini bisa bergerak lebih meningkat dan lebih baik lagi , "" ujarnya .",2
Jokowi lantas mengatakan geopolitik global kini kurang baik .,0
"Sebab , beberapa negara masih mengalami konflik .",0
"Namun yang terpenting , menurut Jokowi , kondisi politik Indonesia masih terbilang stabil .",2
""" Tapi kita melihat bahwa geopolitik global masih tetap kurang baik , kurang kondusif . Kita lihat perang juga masih berjalan di Ukraina , di Gaza , tapi yang paling penting politik negara kita , politik dalam negeri kita stabil , "" ucapnya .",0
Jokowi menyebutkan hal itu akan membuat para pelaku usaha lega .,2
Dia berharap sektor industri bangkit dan terus mendukung pertumbuhan ekonomi .,2
""" Dan pastinya ini melegakan para pelaku industri keuangan dan membangkitkan industri keuangan yang semakin kokoh untuk mendukung pertumbuhan ekonomi yang inklusif dan berkelanjutan , "" ujarnya .",2
Kondisi dunia yang sedang tidak baik-baik saja ini memang sering diwanti-wanti Jokowi dalam berbagai kesempatan .,0
Para pejabat pemerintahan juga kerap menegaskan kembali pernyataan Jokowi itu untuk mengingatkan betapa pentingnya kesiapan Indonesia dalam menghadapi situasi yang tidak menentu .,0
"Pada Rabu ( 14/2 ) , Menko Perekonomian Airlangga Hartarto juga menyinggung soal kondisi ekonomi dunia yang menjadi tantangan .",1
Dia menyebutkan pertumbuhan ekonomi dunia masih akan turun .,0
""" Dunia tidak baik-baik saja . Jadi pertumbuhan ekonomi global masih akan turun , "" kata Airlangga .",0
"Meski begitu , menurutnya , harga komoditas akan tetap stabil .",1
"Karena itulah , dunia tidak akan mengalami gejolak sebesar pada saat pandemi COVID-19 melanda .",1
"Di samping itu , Airlangga mengatakan ekonomi domestik terbilang dalam kondisi kuat .",2
"Apalagi dengan adanya pemilu , ekonomi menguat didorong konsumsi masyarakat yang meningkat .",2
""" Kita lihat dari kuartal IV kemarin yg dalam laporan 5,05 PMTB ( pembentukan modal tetap bruto ) naik . Terutama untuk belanja yang nonrutin . Itu terkait pemilu , "" ujarnya .",2
"Sementara dari sisi pertanian sendiri , musim panen di Indonesia telah mundur 2 bulan .",0
"Hal ini menjadi salah satu penyebab panen beras yang seharusnya terjadi pada Maret - April , malah mundur bahkan hingga April - Juni .",0
Kondisi inilah yang membuat pemerintah memutuskan untuk melakukan impor .,1
"Lebih lanjut , Airlangga juga optimistis aliran investasi akan mengalir lebih kencang pada 2024 ini .",2
Hal ini didorong dengan kondisi pemilu kali ini yang menurutnya berjalan aman dan damai sehingga meningkatkan kepercayaan investor luar kepada RI .,2
""" Dengan demikian , confident ( investor ) ke Indonesia menjadi tinggi dan Indonesia dianggap bahwa Indonesia negara yang bisa dijaga pemerintahnya dengan pemilu . Dan pemilu akan menghasilkan juga , "" katanya .",2
""" Harapannya parlemen yang baru , dengan komposisi baru yang juga menjadi check and balance terhadap pemerintah ke depan , "" pungkasnya .",1
"Situasi dunia yang tidak menentu itu diperparah dengan adanya resesi yang menimpa sejumlah negara maju beberapa waktu belakangan ini , termasuk di antaranya Jepang , Inggris , serta sejumlah negara di Eropa .",0
Menkeu Sri Mulyani mengatakan tahun ini sejumlah lembaga dunia sudah menyampaikan kinerja perekonomian negara-negara maju akan cukup tertekan karena kenaikan suku bunga di berbagai negara cukup tinggi dalam waktu yang sangat singkat .,0
Dia mengatakan kondisi ini akan mendatangkan tantangan tersendiri bagi lingkungan global .,1
"Di sisi lain , menurutnya negara-negara yang disebutkan mengalami resesi tersebut memang sedang berada dalam kondisi lemah .",0
""" Negara-negara maju seperti yang tadi disebutkan , yang mengalami resesi , ya memang mereka sudah cukup lemah , "" kata Sri Mulyani di The St. Regist Jakarta , Selasa ( 20/2/2024 ) .",0
"Menurutnya , pelemahan ini terjadi salah satunya didorong sejumlah kondisi geopolitik global yang menyebabkan ekonomi ikut goyang .",0
Salah satunya ialah perang Rusia-Ukraina .,1
""" Entah karena perang di Ukraina yang memengaruhi , terutama Eropa , tapi juga Jepang dan Eropa secara general juga akan terpengaruh oleh kebijakan ekonomi , terutama suku bunga naik , "" ujarnya .",1
"Oleh karena itulah , menurutnya kondisi ini sedikit banyak mempengaruhi kinerja ekonomi dari negara-negara tersebut .",1
"Hal ini pun pada akhirnya juga berimbas ke proyeksi dan outlook ekonomi banyak negara , terutama negara G7 yang cenderung melemah .",0
"Kendati kondisi global sedang tidak baik-baik saja , optimisme perekonomian Indonesia yang bakal terus tumbuh digaungkan oleh sejumlah pihak .",0
